county,year,month,fatalities
Burlington,2008,3,4
Burlington,2008,4,2
Burlington,2008,5,7
Burlington,2008,6,3
Burlington,2008,7,4
Burlington,2008,8,9
Burlington,2008,9,2
Burlington,2008,10,7
Burlington,2008,12,2
Burlington,2009,1,5
Burlington,2009,2,3
Burlington,2009,3,1
Burlington,2009,4,11
Burlington,2009,5,5
Burlington,2009,6,5
Burlington,2009,7,2
Burlington,2009,8,6
Burlington,2009,9,6
Burlington,2009,10,1
Burlington,2009,11,1
Burlington,2009,12,2
Burlington,2010,1,3
Burlington,2010,3,4
Burlington,2010,4,5
Burlington,2010,5,6
Burlington,2010,6,1
Burlington,2010,7,1
Burlington,2010,8,1
Burlington,2010,9,4
Burlington,2010,10,6
Burlington,2010,11,2
Burlington,2010,12,1
Burlington,2011,1,2
Burlington,2011,2,5
Burlington,2011,3,8
Burlington,2011,4,3
Burlington,2011,5,2
Burlington,2011,6,5
Burlington,2011,7,6
Burlington,2011,8,4
Burlington,2011,9,3
Burlington,2011,10,3
Burlington,2011,11,6
Burlington,2011,12,5
Burlington,2012,1,2
Burlington,2012,2,6
Burlington,2012,3,4
Burlington,2012,4,4
Burlington,2012,5,4
Burlington,2012,6,5
Burlington,2012,7,4
Burlington,2012,8,6
Burlington,2012,9,3
Burlington,2012,10,3
Burlington,2012,11,6
Burlington,2012,12,6
Burlington,2013,1,2
Burlington,2013,2,2
Burlington,2013,3,4
Burlington,2013,5,3
Burlington,2013,6,6
Burlington,2013,7,8
Burlington,2013,8,3
Burlington,2013,9,1
Burlington,2013,10,2
Burlington,2013,12,4
Burlington,2014,1,3
Burlington,2014,2,2
Burlington,2014,3,3
Burlington,2014,4,2
Burlington,2014,5,3
Burlington,2014,6,1
Burlington,2014,7,1
Burlington,2014,8,2
Burlington,2014,9,2
Burlington,2014,10,3
Burlington,2014,11,4
Burlington,2014,12,5
Burlington,2015,1,2
Burlington,2015,2,3
Burlington,2015,3,3
Burlington,2015,4,1
Burlington,2015,5,8
Burlington,2015,6,5
Burlington,2015,7,1
Burlington,2015,8,8
Burlington,2015,9,1
Burlington,2015,10,2
Burlington,2015,11,3
Burlington,2015,12,11
Burlington,2016,1,2
Burlington,2016,2,1
Burlington,2016,3,1
Burlington,2016,4,1
Burlington,2016,5,6
Burlington,2016,6,2
Burlington,2016,7,5
Burlington,2016,8,7
Burlington,2016,9,8
Burlington,2016,10,8
Burlington,2016,11,5
Burlington,2016,12,4
Burlington,2017,1,4
Burlington,2017,2,1
Burlington,2017,3,3
Burlington,2017,4,4
Burlington,2017,5,2
Burlington,2017,6,3
Burlington,2017,7,5
Burlington,2017,8,3
Burlington,2017,9,6
Burlington,2017,10,1
Burlington,2017,11,9
Burlington,2017,12,7
Burlington,2018,1,6
Burlington,2018,2,5
Burlington,2018,3,1
Burlington,2018,4,3
Burlington,2018,5,9
Burlington,2018,6,1
Burlington,2018,7,4
Burlington,2018,8,4
Burlington,2018,9,3
Burlington,2018,10,2
Burlington,2018,11,4
Burlington,2018,12,2
Burlington,2019,1,2
Burlington,2019,2,2
Burlington,2019,5,2
Burlington,2019,6,1
Burlington,2019,7,3
Burlington,2019,8,3
Burlington,2019,9,6
Burlington,2019,10,5
Burlington,2019,11,3
Burlington,2019,12,6
Burlington,2020,1,2
Burlington,2020,3,1
Burlington,2020,4,1
Burlington,2020,5,8
Burlington,2020,6,2
Burlington,2020,7,5
Burlington,2020,8,4
Burlington,2020,9,4
Burlington,2020,10,9
Burlington,2020,11,3
Burlington,2020,12,3
Burlington,2021,1,3
Burlington,2021,2,1
Burlington,2021,3,5
Burlington,2021,4,2
Burlington,2021,5,2
Burlington,2021,6,1
Burlington,2021,7,6
Burlington,2021,8,5
Burlington,2021,9,4
Burlington,2021,10,4
Burlington,2021,11,6
Burlington,2021,12,2
Burlington,2022,1,3
Burlington,2022,2,2
Burlington,2022,3,3
Burlington,2022,4,5
Burlington,2022,5,7
Burlington,2022,6,9
Burlington,2022,7,1
Burlington,2022,8,5
Burlington,2022,9,6
Burlington,2022,10,5
Burlington,2022,11,7
Burlington,2022,12,7
Burlington,2023,2,1
Burlington,2023,3,1
Burlington,2023,4,4
Burlington,2023,5,1
Burlington,2023,6,6
Burlington,2023,7,2
Burlington,2023,8,4
Burlington,2023,9,2
Burlington,2023,10,3
Burlington,2023,11,8
Burlington,2023,12,4
Burlington,2024,1,3
Burlington,2024,2,3
Burlington,2024,3,5
Burlington,2024,4,3
Burlington,2024,5,3
Burlington,2024,6,5
Burlington,2024,7,4
Burlington,2024,8,4
Burlington,2024,9,4
Burlington,2024,10,4
Burlington,2024,11,3
Burlington,2024,12,4
Burlington,2025,1,3
Burlington,2025,2,3
Burlington,2025,3,3
Burlington,2025,4,5
Burlington,2025,5,2
Burlington,2025,6,5
Burlington,2025,7,1
Burlington,2025,8,1
Burlington,2025,9,7
Burlington,2025,10,5
Burlington,2025,11,1
Burlington,2025,12,6
Burlington,2026,1,1
Burlington,2026,2,3
Camden,2008,1,5
Camden,2008,2,2
Camden,2008,3,4
Camden,2008,4,5
Camden,2008,5,3
Camden,2008,6,1
Camden,2008,7,6
Camden,2008,8,3
Camden,2008,9,5
Camden,2008,10,3
Camden,2008,11,4
Camden,2008,12,3
Camden,2009,1,3
Camden,2009,2,1
Camden,2009,3,3
Camden,2009,4,1
Camden,2009,5,2
Camden,2009,6,6
Camden,2009,7,3
Camden,2009,8,6
Camden,2009,9,2
Camden,2009,10,4
Camden,2009,11,5
Camden,2009,12,6
Camden,2010,1,4
Camden,2010,2,1
Camden,2010,3,1
Camden,2010,4,7
Camden,2010,5,3
Camden,2010,6,4
Camden,2010,7,8
Camden,2010,8,5
Camden,2010,9,3
Camden,2010,10,1
Camden,2010,11,3
Camden,2010,12,1
Camden,2011,1,7
Camden,2011,2,3
Camden,2011,3,7
Camden,2011,4,8
Camden,2011,5,2
Camden,2011,6,1
Camden,2011,7,4
Camden,2011,8,2
Camden,2011,9,2
Camden,2011,11,7
Camden,2011,12,6
Camden,2012,1,4
Camden,2012,2,1
Camden,2012,3,3
Camden,2012,4,3
Camden,2012,6,2
Camden,2012,7,2
Camden,2012,8,2
Camden,2012,9,4
Camden,2012,10,3
Camden,2012,11,2
Camden,2013,1,3
Camden,2013,2,2
Camden,2013,3,5
Camden,2013,5,2
Camden,2013,6,2
Camden,2013,7,4
Camden,2013,8,3
Camden,2013,9,4
Camden,2013,10,1
Camden,2013,11,4
Camden,2013,12,1
Camden,2014,1,5
Camden,2014,2,1
Camden,2014,3,3
Camden,2014,4,4
Camden,2014,5,4
Camden,2014,6,2
Camden,2014,7,3
Camden,2014,8,5
Camden,2014,9,2
Camden,2014,10,4
Camden,2014,11,2
Camden,2014,12,3
Camden,2015,1,7
Camden,2015,2,1
Camden,2015,3,2
Camden,2015,4,2
Camden,2015,5,4
Camden,2015,6,3
Camden,2015,7,2
Camden,2015,8,1
Camden,2015,9,4
Camden,2015,10,4
Camden,2015,11,2
Camden,2015,12,3
Camden,2016,1,4
Camden,2016,2,3
Camden,2016,3,3
Camden,2016,4,3
Camden,2016,5,1
Camden,2016,6,1
Camden,2016,7,5
Camden,2016,8,5
Camden,2016,9,2
Camden,2016,10,1
Camden,2016,11,4
Camden,2016,12,7
Camden,2017,1,2
Camden,2017,2,3
Camden,2017,3,4
Camden,2017,4,1
Camden,2017,6,4
Camden,2017,7,7
Camden,2017,8,6
Camden,2017,9,2
Camden,2017,10,8
Camden,2017,11,5
Camden,2017,12,2
Camden,2018,1,5
Camden,2018,2,5
Camden,2018,4,2
Camden,2018,5,3
Camden,2018,6,7
Camden,2018,7,7
Camden,2018,8,1
Camden,2018,9,4
Camden,2018,10,1
Camden,2018,11,5
Camden,2018,12,6
Camden,2019,1,5
Camden,2019,2,2
Camden,2019,3,2
Camden,2019,4,2
Camden,2019,5,4
Camden,2019,6,5
Camden,2019,7,5
Camden,2019,8,4
Camden,2019,9,9
Camden,2019,10,4
Camden,2019,11,2
Camden,2019,12,2
Camden,2020,1,4
Camden,2020,2,2
Camden,2020,3,3
Camden,2020,4,2
Camden,2020,5,3
Camden,2020,6,3
Camden,2020,7,4
Camden,2020,8,2
Camden,2020,9,3
Camden,2020,10,1
Camden,2020,11,6
Camden,2020,12,5
Camden,2021,1,5
Camden,2021,2,3
Camden,2021,3,7
Camden,2021,4,11
Camden,2021,5,2
Camden,2021,6,5
Camden,2021,7,4
Camden,2021,8,12
Camden,2021,9,5
Camden,2021,10,5
Camden,2021,11,4
Camden,2021,12,6
Camden,2022,1,8
Camden,2022,2,1
Camden,2022,3,3
Camden,2022,4,6
Camden,2022,5,8
Camden,2022,6,5
Camden,2022,8,6
Camden,2022,9,4
Camden,2022,10,5
Camden,2022,11,3
