year,county,cc,mc,month,municipality,date,persons_killed,driver,passenger,cyclist,pedestrian
2015,Gloucester,8,8.0,6,HARRISON TWSP,06/30/2015,.7 1 DRIVER,1,0,0,0
2015,Ocean,15,24.0,6,PLUMSTED TWSP,06/30/2015,.8 1 DRIVER,1,0,0,0
2015,Passaic,16,2.0,7,CLIFTON CITY,07/01/2015,.3 1 DRIVER,1,0,0,0
2015,Union,20,4.0,7,ELIZABETH CITY,07/04/2015,.0 1 PEDESTRIAN,0,0,0,1
2015,Gloucester,8,5.0,7,FRANKLIN TWSP,07/05/2015,.6 1 DRIVER,1,0,0,0
2015,Ocean,15,13.0,7,LACEY TWSP,07/05/2015,.3 1 PEDESTRIAN,0,0,0,1
2015,Bergen,2,11.0,7,ELMWOOD PARK BORO,07/07/2015,.0 1 PEDESTRIAN,0,0,0,1
2015,Monmouth,13,32.0,7,MIDDLETOWN TWSP,07/07/2015,.7 1 PEDESTRIAN,0,0,0,1
2015,Ocean,15,13.0,7,LACEY TWSP,07/07/2015,.3 1 DRIVER,1,0,0,0
2015,Essex,7,17.0,7,ORANGE CITY,07/08/2015,.6 1 PEDESTRIAN,0,0,0,1
2015,Gloucester,8,6.0,7,GLASSBORO BORO,07/08/2015,.1 1 PASSENGER,0,1,0,0
2015,Monmouth,13,36.0,7,NEPTUNE TWSP,07/08/2015,.3 1 PEDESTRIAN,0,0,0,1
2015,Bergen,2,31.0,7,LODI BORO,07/10/2015,.5 1 DRIVER,1,0,0,0
2015,Bergen,2,33.0,7,MAHWAH TWSP,07/10/2015,.0 1 DRIVER,1,0,0,0
2015,Essex,7,12.0,7,MILLBURN TWSP,07/10/2015,.0 1 DRIVER,1,0,0,0
2015,Atlantic,1,9.0,7,ESTELL MANOR CITY,07/11/2015,.5 2 PASSENGERS,0,2,0,0
2015,Morris,14,35.0,7,ROCKAWAY TWSP,07/11/2015,".7 1 DRIVER, 2 PASSENGERS",1,2,0,0
2015,Somerset,18,20.0,7,WARREN TWSP,07/11/2015,".9 1 DRIVER, 1 PASSENGER",1,1,0,0
2015,Burlington,3,20.0,7,MEDFORD TWSP,07/12/2015,.8 1 PEDALCYCLIST,0,0,1,0
2015,Camden,4,8.0,7,CAMDEN CITY,07/12/2015,.0 1 DRIVER,1,0,0,0
2015,Cape May,5,11.0,7,UPPER TWSP,07/12/2015,.1 1 DRIVER,1,0,0,0
2015,Cumberland,6,13.0,7,UPPER DEERFIELD TWS,07/12/2015,.9 1 DRIVER,1,0,0,0
2015,Warren,21,16.0,7,MANSFIELD TWSP,07/12/2015,.0 1 DRIVER,1,0,0,0
2015,Hudson,9,3.0,7,GUTTENBERG TOWN,07/14/2015,.0 1 PEDESTRIAN,0,0,0,1
2015,Camden,4,20.0,7,LAUREL SPRINGS BORO,07/16/2015,.7 1 DRIVER,1,0,0,0
2015,Salem,17,14.0,7,UPPER PITTSGROVE TW,07/17/2015,.3 1 DRIVER,1,0,0,0
2015,Union,20,4.0,7,ELIZABETH CITY,07/18/2015,.2 1 DRIVER,1,0,0,0
2015,Ocean,15,24.0,7,PLUMSTED TWSP,07/19/2015,.8 1 DRIVER,1,0,0,0
2015,Union,20,4.0,7,ELIZABETH CITY,07/20/2015,.5 1 PEDESTRIAN,0,0,0,1
2015,Gloucester,8,20.0,7,WEST DEPTFORD TWSP,07/21/2015,.1 1 PEDESTRIAN,0,0,0,1
2015,Essex,7,22.0,7,WEST ORANGE TOWN,07/24/2015,.1 1 DRIVER,1,0,0,0
2015,Ocean,15,12.0,7,JACKSON TWSP,07/24/2015,.3 1 DRIVER,1,0,0,0
2015,Bergen,2,17.0,7,FAIR LAWN BORO,07/25/2015,.0 1 PEDALCYCLIST,0,0,1,0
2015,Cumberland,6,9.0,7,MAURICE RIVER TWSP,07/25/2015,.4 1 DRIVER,1,0,0,0
2015,Gloucester,8,11.0,7,MONROE TWSP,07/25/2015,.1 1 DRIVER,1,0,0,0
2015,Middlesex,12,4.0,7,EAST BRUNSWICK TWSP,07/25/2015,.9 1 PASSENGER,0,1,0,0
2015,Mercer,11,13.0,7,WEST WINDSOR TWP,07/26/2015,.4 1 PASSENGER,0,1,0,0
